Language,StringOrStream,TestDataName,Repetitions,RepetitionIndex,SerializerName,SerializerVersion,TimeSer,TimeDeser,Size,TimeSerAndDeser,OpPerSecSer,OpPerSecDeser,OpPerSecSerAndDeser,MemoryPeakBytes,FidelityScore,DataTypeInstanceCount,TypeConfigHash,SizeGzip,SizeZstd,NativeKind,StreamMode,RunOrder,SchedulePosition
python,bytes,document,100,8,msgspec-msgpack,0.21.1,1553,2032,129,3585,643915.003220,492125.984252,278940.027894,1310,1.00,1,c4a54cdecc67,149,138,struct,,131,3
python,bytes,document,100,8,rapidjson,1.23,5891,7049,448,12940,169750.466814,141864.094198,77279.752705,2663,1.00,1,c4a54cdecc67,229,235,dict,,132,4
python,bytes,document,100,8,msgpack,1.2.1,3849,4258,325,8107,259807.742271,234852.043213,123350.191193,1028,1.00,1,c4a54cdecc67,228,232,dict,,133,5
python,bytes,document,100,8,protobuf,7.35.1,2444,2747,155,5191,409165.302782,364033.491081,192641.109613,292,1.00,1,c4a54cdecc67,174,164,message,,134,6
python,bytes,document,100,8,orjson,3.11.9,1568,2710,448,4278,637755.102041,369003.690037,233754.090697,9821,1.00,1,c4a54cdecc67,229,235,dict,,135,7
python,bytes,document,100,8,avro,1.12.2,14865,8578,114,23443,67272.115708,116577.290744,42656.656571,1121,1.00,1,c4a54cdecc67,137,123,dict,,136,8
python,bytes,document,100,8,dill,0.4.1,152146,14321,452,166467,6572.634180,69827.526011,6007.196622,14770,1.00,1,c4a54cdecc67,319,336,dataclass,,137,9
python,bytes,document,100,8,mashumaro,3.22,3850,7445,448,11295,259740.259740,134318.334453,88534.749889,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,138,10
python,bytes,document,100,8,flatbuffers,25.12.19,87337,28197,416,115534,11449.900958,35464.765755,8655.460730,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,139,11
python,bytes,document,100,8,serpyco-rs,1.21.0,3390,4741,448,8131,294985.250737,210925.964986,122986.102570,9789,1.00,1,c4a54cdecc67,229,235,dataclass,,140,12
python,bytes,document,100,8,cloudpickle,3.1.2,31393,9110,452,40503,31854.235021,109769.484083,24689.529171,8946,1.00,1,c4a54cdecc67,319,336,dataclass,,141,13
python,bytes,document,100,8,msgspec,0.21.1,2134,2620,192,4754,468603.561387,381679.389313,210349.179638,1406,1.00,1,c4a54cdecc67,165,163,struct,,142,14
python,bytes,document,100,8,cbor2,6.1.3,18502,7545,332,26047,54048.211004,132538.104705,38392.137290,3497,1.00,1,c4a54cdecc67,220,224,dict,,143,15
python,bytes,document,100,9,flatbuffers,25.12.19,82064,26215,416,108279,12185.611230,38146.099561,9235.401140,2638,1.00,1,c4a54cdecc67,267,265,dataclass,,144,0
python,bytes,document,100,9,pickle,python-3.14.0,11947,8162,452,20109,83703.021679,122518.990444,49728.977075,6889,1.00,1,c4a54cdecc67,319,336,dataclass,,145,1
python,bytes,document,100,9,mashumaro,3.22,3764,7588,448,11352,265674.814028,131787.032156,88090.204369,9821,1.00,1,c4a54cdecc67,229,235,dataclass,,146,2
python,bytes,document,100,9,orjson,3.11.9,1356,1839,448,3195,737463.126844,543773.790103,312989.045383,9821,1.00,1,c4a54cdecc67,229,235,dict,,147,3
python,bytes,document,100,9,avro,1.12.2,17713,9824,114,27537,56455.710495,101791.530945,36314.776483,1121,1.00,1,c4a54cdecc67,137,123,dict,,148,4
